DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA A100 80GB PCIe [0x1f79];3;2;2;2;30000;0;9;1;2;2;0;1;0;1;0;0;1;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;3;3;3;30000;0;9;1;1;2;0;0;1;0;0;0;1;1;0;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;4;30000;0;10;1;1;1;0;-1;-2;1;0;0;1;1;3;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;5;30000;0;10;1;1;1;0;-1;1;0;0;1;1;0;0;0;2
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;7;30000;0;19;4;1;2;0;-1;0;0;0;1;1;0;1;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;9;30000;0;6;1;2;3;0;0;-2;1;0;1;1;0;3;2;1
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;10;30000;0;6;1;1;1;0;1;0;1;0;0;1;1;3;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;13;30000;0;10;1;1;2;0;-1;0;1;0;1;1;0;3;0;2
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;15;30000;0;22;1;1;3;0;-2;1;1;0;0;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;25;30000;0;14;1;1;2;0;0;1;0;0;0;1;0;0;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;26;30000;0;4;1;1;2;0;0;-1;1;0;1;1;0;0;2;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;28;30000;0;20;1;1;3;0;0;0;0;0;0;1;0;0;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;4;32;30000;0;18;1;1;3;0;-1;1;0;0;0;0;1;3;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;4;30000;0;10;1;1;3;0;-1;-2;0;0;0;1;0;3;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;5;30000;0;9;1;1;3;0;1;-1;1;0;1;1;0;3;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;7;30000;0;12;1;1;4;0;1;-1;1;0;1;1;1;3;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;9;30000;0;6;1;3;4;0;1;1;1;0;1;1;0;3;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;13;30000;0;21;1;1;3;0;-1;-2;1;0;1;1;0;3;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;5;25;30000;0;6;1;1;3;0;0;-1;0;0;0;0;0;0;0;2
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;4;30000;0;10;1;1;3;0;2;0;1;0;1;1;1;3;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;5;30000;0;9;1;1;1;0;1;-2;1;0;1;1;0;0;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;7;30000;0;10;1;1;1;0;-1;-1;0;0;1;1;1;3;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;9;30000;0;17;1;1;2;0;0;1;0;0;1;0;1;3;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;7;13;30000;0;16;2;1;4;0;-2;-1;1;0;1;1;0;3;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;9;4;30000;0;11;1;2;4;0;1;-2;0;0;0;1;1;3;3;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;9;5;30000;0;19;2;1;1;0;-1;-1;1;0;0;1;1;3;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;9;7;30000;0;14;4;1;4;0;0;-1;0;0;0;1;0;1;0;0
