DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
Intel(R) Graphics [0xe223];3;5;5;5;30000;0;24;5;1;1;5;1;0;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;5;5;13;30000;0;30;5;1;1;1;1;-1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;5;5;16;30000;0;15;5;1;1;5;1;-2;0;0;0;1;0;2;2;0;0
Intel(R) Graphics [0xe223];3;5;5;24;30000;0;17;5;1;1;1;0;1;0;0;0;1;0;2;2;0;0
Intel(R) Graphics [0xe223];3;5;5;26;30000;0;15;5;1;1;1;0;-1;0;0;0;1;0;2;0;0;0
Intel(R) Graphics [0xe223];3;5;13;5;30000;0;30;5;1;1;1;-1;0;0;0;0;1;0;0;2;0;0
Intel(R) Graphics [0xe223];3;5;13;13;30000;0;40;5;1;1;13;-1;-2;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;5;13;16;30000;0;30;5;1;1;13;-2;-2;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;5;13;24;30000;0;31;5;1;1;13;0;1;0;0;0;1;0;2;2;0;1
Intel(R) Graphics [0xe223];3;5;13;26;30000;0;24;5;1;4;1;-1;-1;0;0;0;1;0;1;0;0;0
Intel(R) Graphics [0xe223];3;5;16;5;30000;0;41;5;1;1;1;0;-1;0;0;0;1;0;0;2;0;0
Intel(R) Graphics [0xe223];3;5;16;13;30000;0;31;5;1;1;16;0;0;0;0;0;1;0;0;2;0;1
Intel(R) Graphics [0xe223];3;5;16;16;30000;0;30;5;1;1;16;0;-1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;5;16;24;30000;0;24;5;1;1;16;0;0;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;5;16;26;30000;0;46;5;1;1;16;-2;-1;0;0;0;1;0;2;2;0;1
Intel(R) Graphics [0xe223];3;5;24;5;30000;0;30;5;1;1;1;-1;-2;0;0;0;1;0;2;2;0;0
Intel(R) Graphics [0xe223];3;5;24;13;30000;0;30;5;1;1;1;-2;-1;0;0;0;1;0;2;0;0;0
Intel(R) Graphics [0xe223];3;5;24;16;30000;0;30;5;1;1;24;-1;1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;5;24;24;30000;0;40;5;1;1;24;0;1;0;0;0;1;0;0;2;0;1
Intel(R) Graphics [0xe223];3;5;24;26;30000;0;42;5;1;1;24;-1;1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;5;26;5;30000;0;30;5;1;1;1;-1;-2;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;5;26;13;30000;0;30;5;1;1;26;1;-2;0;0;0;1;0;0;2;0;1
Intel(R) Graphics [0xe223];3;5;26;16;30000;0;24;5;1;1;26;-2;-2;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;5;26;24;30000;0;30;5;1;4;26;1;1;0;0;0;1;0;1;0;0;1
Intel(R) Graphics [0xe223];3;5;26;26;30000;0;30;5;1;1;26;1;-1;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;6;6;6;30000;0;30;6;1;1;1;-2;0;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;9;9;9;30000;0;30;9;1;1;1;0;0;0;0;0;1;0;2;0;0;0
Intel(R) Graphics [0xe223];3;9;9;16;30000;0;15;9;1;1;9;-1;1;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;9;9;22;30000;0;40;9;1;1;9;-2;1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;9;16;9;30000;0;59;9;1;1;16;-1;0;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;9;16;16;30000;0;30;9;1;7;16;-1;-1;0;0;0;1;0;0;1;0;1
Intel(R) Graphics [0xe223];3;9;16;22;30000;0;30;9;1;1;1;-2;-1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;9;22;9;30000;0;30;9;1;1;22;-1;-2;0;0;0;1;0;0;2;0;1
Intel(R) Graphics [0xe223];3;9;22;16;30000;0;30;9;1;1;22;-1;-1;0;0;0;1;0;2;0;0;1
Intel(R) Graphics [0xe223];3;9;22;22;30000;0;30;9;1;1;22;0;1;0;0;0;1;0;2;0;0;1
Intel(R) Graphics [0xe223];3;13;5;5;30000;0;30;13;1;12;13;1;2;0;0;0;1;0;1;1;0;1
Intel(R) Graphics [0xe223];3;13;5;13;30000;0;20;13;1;11;1;-1;2;0;0;0;1;0;1;0;0;0
Intel(R) Graphics [0xe223];3;13;5;16;30000;0;30;13;1;3;13;-1;2;0;0;0;1;0;1;1;0;1
