DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
gfx90a [0x989f];3;3;3;3;30000;0;10;3;1;3;1;-1;0;0;1;1;1;0;2;0;0;0
gfx90a [0x989f];3;3;3;4;30000;0;25;3;1;2;1;0;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;3;5;30000;0;29;3;1;2;1;-1;-2;0;1;0;1;0;2;2;1;0
gfx90a [0x989f];3;3;3;6;30000;0;29;3;1;2;1;-2;-2;0;1;1;1;0;0;0;0;0
gfx90a [0x989f];3;3;3;7;30000;0;29;3;1;2;1;-1;0;0;1;1;1;0;2;2;1;0
gfx90a [0x989f];3;3;3;8;30000;0;9;3;1;2;1;-2;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;3;9;30000;0;9;3;1;2;1;-2;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;10;30000;0;37;3;1;1;1;0;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;11;30000;0;8;3;1;3;1;1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;12;30000;0;6;3;1;3;1;-2;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;3;16;30000;0;9;3;1;1;1;1;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;3;23;30000;0;3;3;1;1;1;-1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;4;3;30000;0;21;3;1;1;1;0;-1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;4;4;30000;0;25;3;1;2;1;0;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;5;3;30000;0;18;3;1;1;1;1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;5;5;30000;0;25;3;1;2;1;-1;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;6;3;30000;0;15;3;1;1;1;1;0;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;3;6;6;30000;0;25;3;1;3;1;-1;-2;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;7;3;30000;0;15;3;1;2;1;-1;0;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;3;7;7;30000;0;29;3;1;1;1;-1;0;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;3;8;3;30000;0;15;3;1;2;1;1;-1;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;8;8;30000;0;29;3;1;1;1;0;0;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;3;9;3;30000;0;15;3;1;1;1;-1;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;3;9;9;30000;0;25;3;1;3;1;0;-2;0;1;1;1;0;0;2;1;0
gfx90a [0x989f];3;3;10;3;30000;0;15;3;1;1;1;-2;-2;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;10;10;30000;0;25;3;1;1;1;0;-2;0;0;1;1;0;2;2;0;0
gfx90a [0x989f];3;3;11;3;30000;0;15;3;1;3;1;0;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;3;11;11;30000;0;30;3;1;1;1;1;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;12;3;30000;0;15;3;1;1;1;-1;-2;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;12;12;30000;0;25;3;1;2;1;-2;-1;0;0;0;1;0;2;1;0;0
gfx90a [0x989f];3;3;16;3;30000;0;15;3;1;2;1;0;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;3;16;16;30000;0;40;3;1;1;1;-2;0;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;3;23;3;30000;0;15;3;1;3;1;0;0;0;0;0;1;0;0;2;0;0
gfx90a [0x989f];3;3;23;23;30000;0;50;3;1;3;1;-1;0;0;1;0;1;1;0;0;1;0
