DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;2;2;2;30000;0;4;2;1;1;1;-2;-1;0;1;1;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;3;3;1;30000;0;6;3;1;1;1;-2;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;3;3;3;30000;0;5;3;1;2;1;-2;-2;0;1;1;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;4;30000;0;5;4;1;2;1;-1;-1;0;1;1;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;5;30000;0;10;4;1;4;1;-2;-1;0;1;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;7;30000;0;10;4;1;2;1;-2;0;0;0;1;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;9;30000;0;9;4;1;1;1;-2;0;0;1;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;10;30000;0;9;4;1;4;1;-1;-1;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;13;30000;0;8;4;1;1;1;-2;-1;0;0;1;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;15;30000;0;8;4;1;1;1;-1;-2;0;1;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;17;30000;0;8;4;1;2;1;-2;5;0;1;0;1;0;0;0;1;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;25;30000;0;8;4;1;1;1;-2;0;0;1;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;4;26;30000;0;8;4;1;1;1;-1;0;0;1;1;1;0;2;0;0;0
